,CM_BombPiece,CM_CrossPiece,CM_HorizontalPiece,CM_RainbowPiece,CM_RocketPiece,CM_VerticalPiece,L_BombPiece,L_CrossPiece,L_HorizontalPiece,L_RainbowPiece,L_RocketPiece,L_VerticalPiece,User,Method,L_Step,L_DecisionTime,PCGTime,Time,EVT_MatchNoHint,EVT_MatchIgnoringHint
53,2,1,5,3,6,2,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,54,3.03088379,142,2023-08-04 04:45:08.466,False,False
54,2,1,5,3,6,3,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,55,3.42431641,146,2023-08-04 04:45:12.922,False,False
55,2,1,5,3,6,4,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,56,3.10549927,145,2023-08-04 04:45:17.023,False,False
56,2,1,5,3,6,4,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,57,0.2678833,1578,2023-08-04 04:45:25.378,False,False
57,2,1,5,3,6,4,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,58,2.06118774,452,2023-08-04 04:45:28.682,False,False
58,2,1,5,3,6,4,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,59,0.9984131,623,2023-08-04 04:45:33.559,False,False
59,2,1,5,3,6,5,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,60,1.59100342,451,2023-08-04 04:45:36.447,False,False
60,0,0,0,0,0,0,False,False,False,False,False,False,1a1b31b1,MCTS_Knowledge,1,34.8945,0,2023-08-04 04:25:47.567,False,False
61,0,0,0,0,0,0,False,False,False,False,False,False,1a1b31b1,MCTS_Knowledge,2,3.14799881,621,2023-08-04 04:25:52.217,False,False
62,0,0,0,0,0,0,False,False,False,False,False,False,1a1b31b1,MCTS_Knowledge,3,15.2979965,145,2023-08-04 04:26:08.548,False,False
63,0,0,0,0,1,0,False,False,False,False,False,False,1a1b31b1,MCTS_Knowledge,4,8.577499,1042,2023-08-04 04:26:20.738,False,False
64,0,0,0,0,1,0,False,False,False,False,False,False,1a1b31b1,MCTS_Knowledge,5,11.2696991,151,2023-08-04 04:26:33.091,False,False
65,0,0,0,0,1,0,False,False,False,False,False,False,1a1b31b1,MCTS_Knowledge,6,4.249405,160,2023-08-04 04:26:38.331,False,False
66,0,0,0,0,1,0,False,False,False,False,False,False,1a1b31b1,MCTS_Knowledge,7,9.573601,575,2023-08-04 04:26:49.341,False,False
67,0,0,0,0,1,0,False,False,False,False,False,False,1a1b31b1,MCTS_Knowledge,8,8.618706,498,2023-08-04 04:27:00.531,False,False
68,0,0,0,0,1,0,False,False,False,False,False,False,1a1b31b1,MCTS_Knowledge,9,7.40010071,144,2023-08-04 04:27:08.928,False,False
69,0,0,0,0,1,0,False,False,False,False,False,False,1a1b31b1,MCTS_Knowledge,10,3.3293,438,2023-08-04 04:27:13.531,False,False
70,1,0,0,0,1,0,True,False,False,False,False,False,1a1b31b1,MCTS_Knowledge,11,15.0332031,1870,2023-08-04 04:27:33.455,True,False
71,1,0,0,0,1,1,True,False,False,False,False,True,1a1b31b1,MCTS_Knowledge,12,4.15611267,142,2023-08-04 04:27:38.512,False,True
72,1,0,0,0,1,1,True,False,False,False,False,True,1a1b31b1,MCTS_Knowledge,13,21.77861,2025,2023-08-04 04:28:04.980,False,False
73,1,0,0,0,1,1,True,False,False,False,False,True,1a1b31b1,MCTS_Knowledge,14,6.365402,1542,2023-08-04 04:28:15.391,False,False
74,1,0,0,0,1,1,True,False,False,False,False,True,1a1b31b1,MCTS_Knowledge,15,11.0453949,145,2023-08-04 04:28:27.421,False,False
75,1,0,0,0,1,1,True,False,False,False,False,True,1a1b31b1,MCTS_Knowledge,16,5.63960266,144,2023-08-04 04:28:34.107,False,False
76,1,0,0,0,1,1,True,False,False,False,False,True,1a1b31b1,MCTS_Knowledge,17,11.3852081,149,2023-08-04 04:28:46.446,False,False
77,1,0,0,0,1,2,True,False,False,False,False,True,1a1b31b1,MCTS_Knowledge,18,2.44290161,510,2023-08-04 04:28:52.464,False,False
78,1,0,0,0,1,2,True,False,False,False,False,True,1a1b31b1,MCTS_Knowledge,19,3.714096,146,2023-08-04 04:28:57.144,False,False
79,1,0,1,0,1,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,20,2.18818665,833,2023-08-04 04:29:03.321,True,False
80,1,0,1,0,1,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,21,43.8651123,147,2023-08-04 04:29:48.264,False,False
81,1,0,1,0,1,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,22,3.96759033,1459,2023-08-04 04:29:56.183,False,False
82,1,0,1,0,1,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,23,31.87561,420,2023-08-04 04:30:29.321,False,False
83,1,0,1,0,1,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,24,6.96182251,142,2023-08-04 04:30:37.263,False,False
84,1,0,1,0,1,2,True,False,True,False,False,True,1a1b31b1,MCTS_Knowledge,25,7.69979858,1356,2023-08-04 04:30:47.247,False,False
