,User,Method,L_Step,L_DecisionTime,L_BombPiece,L_CrossPiece,L_HorizontalPiece,L_RainbowPiece,L_RocketPiece,L_VerticalPiece
122,211700f2,MCTS_Knowledge,3,13.9112015,False,False,False,False,False,False
123,211700f2,MCTS_Knowledge,4,12.3258972,False,False,False,False,False,False
124,211700f2,MCTS_Knowledge,5,102.658691,False,False,False,False,False,False
125,211700f2,MCTS_Knowledge,6,21.07901,False,False,False,False,False,False
126,211700f2,MCTS_Knowledge,7,23.40599,False,False,False,False,False,False
127,211700f2,MCTS_Knowledge,8,10.417511,False,False,False,False,False,False
128,211700f2,MCTS_Knowledge,9,21.24878,False,False,False,False,False,False
129,211700f2,MCTS_Knowledge,10,13.8846741,False,False,False,False,False,False
130,211700f2,MCTS_Knowledge,11,36.62982,False,False,False,False,False,False
131,211700f2,MCTS_Knowledge,12,9.973907,False,False,False,False,False,False
132,211700f2,MCTS_Knowledge,13,18.1667175,False,False,False,False,False,False
133,211700f2,MCTS_Knowledge,14,10.44342,False,False,False,False,False,False
134,211700f2,MCTS_Knowledge,15,31.8807068,False,False,False,False,False,False
135,211700f2,MCTS_Knowledge,16,9.835602,False,False,False,False,False,False
136,211700f2,MCTS_Knowledge,17,10.0500793,False,False,False,False,False,False
137,211700f2,MCTS_Knowledge,18,11.9154663,False,False,False,False,False,False
138,211700f2,MCTS_Knowledge,19,20.1304321,False,False,False,False,False,False
139,211700f2,MCTS_Knowledge,20,28.9506226,False,False,False,False,False,False
140,211700f2,MCTS_Knowledge,21,9.558105,False,False,False,False,False,False
141,211700f2,MCTS_Knowledge,22,0.439697266,False,False,False,False,False,False
142,211700f2,MCTS_Knowledge,23,9.908508,False,False,False,False,False,False
143,211700f2,MCTS_Knowledge,24,9.0703125,False,False,False,False,False,False
144,211700f2,MCTS_Knowledge,25,18.4077759,False,False,False,False,False,False
145,211700f2,MCTS_Knowledge,26,13.15741,False,False,False,False,False,False
146,211700f2,MCTS_Knowledge,27,10.7119751,False,False,False,False,False,False
147,211700f2,MCTS_Knowledge,28,34.1253662,False,False,False,False,False,False
148,211700f2,MCTS_Knowledge,29,42.40851,False,False,False,False,False,False
149,211700f2,MCTS_Knowledge,30,9.508606,False,False,False,False,False,False
150,211700f2,MCTS_Knowledge,31,27.0198364,False,False,False,False,False,False
151,211700f2,MCTS_Knowledge,32,29.2727051,False,False,False,False,False,False
152,211700f2,MCTS_Knowledge,33,18.2781372,False,False,False,False,False,False
153,211700f2,MCTS_Knowledge,34,15.8594971,False,False,False,False,False,False
154,211700f2,MCTS_Knowledge,35,10.3442993,False,False,False,False,False,False
155,211700f2,MCTS_Knowledge,36,10.8173218,False,False,False,False,False,False
156,211700f2,MCTS_Knowledge,37,18.3320923,False,False,False,False,False,False
