,CM_BombPiece,CM_CrossPiece,CM_HorizontalPiece,CM_RainbowPiece,CM_RocketPiece,CM_VerticalPiece,L_BombPiece,L_CrossPiece,L_HorizontalPiece,L_RainbowPiece,L_RocketPiece,L_VerticalPiece,User,Method,L_Step,L_DecisionTime,PCGTime,Time,EVT_MatchNoHint,EVT_MatchIgnoringHint,Q_BombPiece,Q_CrossPiece,Q_HorizontalPiece,Q_RainbowPiece,Q_RocketPiece,Q_VerticalPiece,Timestamp,Age,Gender,GF_PlayFrequency,GF_PlayTime,GF_TutorialHelpful,GF_BasicMechanicTime,GF_SpecialSkillTime,GF_TutorialHelpRemember,GF_LearnedAllSkill,GF_InvolvedInGame,GF_NewBlockSame,GF_HintUseless,Diff_CM_BombPiece,Diff_CM_CrossPiece,Diff_CM_HorizontalPiece,Diff_CM_RainbowPiece,Diff_CM_RocketPiece,Diff_CM_VerticalPiece,EVT_MatchNoHint_BombPiece,EVT_MatchIgnoringHint_BombPiece,EVT_MatchNoHint_CrossPiece,EVT_MatchIgnoringHint_CrossPiece,EVT_MatchNoHint_HorizontalPiece,EVT_MatchIgnoringHint_HorizontalPiece,EVT_MatchNoHint_RainbowPiece,EVT_MatchIgnoringHint_RainbowPiece,EVT_MatchNoHint_RocketPiece,EVT_MatchIgnoringHint_RocketPiece,EVT_MatchNoHint_VerticalPiece,EVT_MatchIgnoringHint_VerticalPiece
49,1,1,5,3,6,2,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,50,0.8835144,1590,2023-08-04 04:44:33.958,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,1,1,5,3,6,2,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,51,13.4481812,159,2023-08-04 04:44:48.462,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,1,1,5,3,6,2,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,52,3.8243103,611,2023-08-04 04:44:53.776,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
52,2,1,5,3,6,2,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,53,4.074402,143,2023-08-04 04:45:04.539,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,2,1,5,3,6,2,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,54,3.03088379,142,2023-08-04 04:45:08.466,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,2,1,5,3,6,3,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,55,3.42431641,146,2023-08-04 04:45:12.922,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
55,2,1,5,3,6,4,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,56,3.10549927,145,2023-08-04 04:45:17.023,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,2,1,5,3,6,4,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,57,0.2678833,1578,2023-08-04 04:45:25.378,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,2,1,5,3,6,4,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,58,2.06118774,452,2023-08-04 04:45:28.682,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,2,1,5,3,6,4,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,59,0.9984131,623,2023-08-04 04:45:33.559,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,2,1,5,3,6,5,True,False,True,False,True,True,14c0e24b,MCTS_Knowledge,60,1.59100342,451,2023-08-04 04:45:36.447,False,False,True,False,False,True,False,True,2023/08/04 5:47:18 오후 GMT+9,31,Male,1,B,6,7,7,7,6,7,7,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,0,0,False,False,False,False,False,False,1a1b31b1,MCTS_Knowledge,1,34.8945,0,2023-08-04 04:25:47.567,False,False,True,False,True,False,False,False,2023/08/04 5:43:32 오후 GMT+9,32,Female,2,B,6,5,5,6,5,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0,0,0,0,0,0,False,False,False,False,False,False,1a1b31b1,MCTS_Knowledge,2,3.14799881,621,2023-08-04 04:25:52.217,False,False,True,False,True,False,False,False,2023/08/04 5:43:32 오후 GMT+9,32,Female,2,B,6,5,5,6,5,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0,0,0,0,0,0,False,False,False,False,False,False,1a1b31b1,MCTS_Knowledge,3,15.2979965,145,2023-08-04 04:26:08.548,False,False,True,False,True,False,False,False,2023/08/04 5:43:32 오후 GMT+9,32,Female,2,B,6,5,5,6,5,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0,0,0,0,1,0,False,False,False,False,False,False,1a1b31b1,MCTS_Knowledge,4,8.577499,1042,2023-08-04 04:26:20.738,False,False,True,False,True,False,False,False,2023/08/04 5:43:32 오후 GMT+9,32,Female,2,B,6,5,5,6,5,5,6,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0,0,0,0,1,0,False,False,False,False,False,False,1a1b31b1,MCTS_Knowledge,5,11.2696991,151,2023-08-04 04:26:33.091,False,False,True,False,True,False,False,False,2023/08/04 5:43:32 오후 GMT+9,32,Female,2,B,6,5,5,6,5,5,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
