,EpisodeCount,StepCount,Time,InstanceUUID,SettleCount,ChangedCount,MeanComparisonCount,StdComparisonCount,ReachedKnowledgeStep,Q1ReachedKnowledgeStep,Q2ReachedKnowledgeStep,Q3ReachedKnowledgeStep,Matched_HorizontalPiece,Matched_VerticalPiece,Matched_CrossPiece,Matched_RocketPiece,Matched_BombPiece,Matched_RainbowPiece,Target_HorizontalPiece,Target_VerticalPiece,Target_CrossPiece,Target_RocketPiece,Target_BombPiece,Target_RainbowPiece,method,player,simpleEffect,objective,simulation,almostRatio,playerDepth,Sum_Matched
5,389,200,2023-05-24 16:18:13.585,da0af9b5,0,0,0.0,0.0,85,79,79,85,41,29,2,114,2,10,7,3,0,2,2,3,random,0,1,-,-,-,-,246
6,390,200,2023-05-24 16:18:40.593,da0af9b5,0,0,0.0,0.0,100,82,97,100,35,32,0,100,5,4,7,3,0,2,2,3,random,0,1,-,-,-,-,210
7,391,200,2023-05-24 16:19:05.152,da0af9b5,0,0,0.0,0.0,111,84,111,111,45,31,7,101,16,7,7,3,0,2,2,3,random,0,1,-,-,-,-,270
0,376,1180,2023-05-24 16:16:03.465,30e59df8,0,0,0.0,0.0,-1,81,113,-1,26,30,2,102,13,13,11,8,4,5,3,3,random,1,1,-,-,-,-,156
1,377,200,2023-05-24 16:16:29.098,30e59df8,0,0,0.0,0.0,-1,60,88,148,39,15,3,70,4,6,11,8,4,5,3,3,random,1,1,-,-,-,-,234
2,378,200,2023-05-24 16:16:53.778,30e59df8,0,0,0.0,0.0,88,40,88,88,44,45,14,119,3,12,11,8,4,5,3,3,random,1,1,-,-,-,-,264
3,379,200,2023-05-24 16:17:21.018,30e59df8,0,0,0.0,0.0,-1,77,-1,-1,52,32,6,94,1,19,11,8,4,5,3,3,random,1,1,-,-,-,-,312
4,380,200,2023-05-24 16:17:45.360,30e59df8,0,0,0.0,0.0,96,69,72,89,31,29,13,120,9,12,11,8,4,5,3,3,random,1,1,-,-,-,-,186
5,381,200,2023-05-24 16:18:08.858,30e59df8,0,0,0.0,0.0,110,51,58,104,38,27,20,131,9,7,11,8,4,5,3,3,random,1,1,-,-,-,-,228
6,382,200,2023-05-24 16:18:32.699,30e59df8,0,0,0.0,0.0,162,21,156,162,35,28,10,109,7,10,11,8,4,5,3,3,random,1,1,-,-,-,-,210
7,383,200,2023-05-24 16:18:52.925,30e59df8,0,0,0.0,0.0,126,124,124,126,40,30,11,153,18,17,11,8,4,5,3,3,random,1,1,-,-,-,-,240
8,384,200,2023-05-24 16:19:15.443,30e59df8,0,0,0.0,0.0,-1,22,88,-1,34,21,9,122,12,2,11,8,4,5,3,3,random,1,1,-,-,-,-,204
0,1,200,2023-05-24 16:15:47.708,b20f4e2a,0,0,0.0,0.0,66,28,28,66,55,50,15,114,6,20,11,8,4,5,3,3,random,1,1,-,-,-,-,330
1,2,200,2023-05-24 16:15:56.390,b20f4e2a,0,0,0.0,0.0,79,34,65,77,37,28,11,105,15,4,11,8,4,5,3,3,random,1,1,-,-,-,-,222
2,3,200,2023-05-24 16:16:04.283,b20f4e2a,0,0,0.0,0.0,-1,88,113,-1,53,34,2,109,5,12,11,8,4,5,3,3,random,1,1,-,-,-,-,318
3,4,200,2023-05-24 16:16:12.189,b20f4e2a,0,0,0.0,0.0,157,6,145,145,47,30,7,115,10,16,11,8,4,5,3,3,random,1,1,-,-,-,-,282
4,5,200,2023-05-24 16:16:19.784,b20f4e2a,0,0,0.0,0.0,199,199,199,199,46,42,8,103,3,9,11,8,4,5,3,3,random,1,1,-,-,-,-,276
5,6,200,2023-05-24 16:16:27.444,b20f4e2a,0,0,0.0,0.0,157,93,157,157,51,30,10,94,3,21,11,8,4,5,3,3,random,1,1,-,-,-,-,306
6,7,200,2023-05-24 16:16:35.421,b20f4e2a,0,0,0.0,0.0,-1,165,-1,-1,29,36,1,78,2,5,11,8,4,5,3,3,random,1,1,-,-,-,-,174
7,8,200,2023-05-24 16:16:43.722,b20f4e2a,0,0,0.0,0.0,165,54,105,145,37,33,7,100,5,11,11,8,4,5,3,3,random,1,1,-,-,-,-,222
8,9,200,2023-05-24 16:16:52.310,b20f4e2a,0,0,0.0,0.0,108,51,68,108,51,50,10,122,4,19,11,8,4,5,3,3,random,1,1,-,-,-,-,306
9,10,200,2023-05-24 16:17:00.185,b20f4e2a,0,0,0.0,0.0,-1,75,174,-1,41,36,2,134,8,21,11,8,4,5,3,3,random,1,1,-,-,-,-,246
10,11,200,2023-05-24 16:17:08.792,b20f4e2a,0,0,0.0,0.0,-1,110,118,151,44,32,3,82,8,6,11,8,4,5,3,3,random,1,1,-,-,-,-,264
11,12,200,2023-05-24 16:17:17.646,b20f4e2a,0,0,0.0,0.0,-1,41,-1,-1,33,37,1,91,8,5,11,8,4,5,3,3,random,1,1,-,-,-,-,198
12,13,200,2023-05-24 16:17:26.505,b20f4e2a,0,0,0.0,0.0,138,36,105,138,53,25,21,154,10,17,11,8,4,5,3,3,random,1,1,-,-,-,-,318
13,14,200,2023-05-24 16:17:34.968,b20f4e2a,0,0,0.0,0.0,197,34,39,197,20,24,8,96,5,6,11,8,4,5,3,3,random,1,1,-,-,-,-,120
14,15,200,2023-05-24 16:17:42.903,b20f4e2a,0,0,0.0,0.0,-1,56,136,136,41,31,3,116,17,15,11,8,4,5,3,3,random,1,1,-,-,-,-,246
15,16,200,2023-05-24 16:17:51.477,b20f4e2a,0,0,0.0,0.0,67,45,58,58,34,26,9,123,10,17,11,8,4,5,3,3,random,1,1,-,-,-,-,204
16,17,200,2023-05-24 16:18:01.134,b20f4e2a,0,0,0.0,0.0,70,51,51,70,46,37,15,160,9,14,11,8,4,5,3,3,random,1,1,-,-,-,-,276
17,18,200,2023-05-24 16:18:10.981,b20f4e2a,0,0,0.0,0.0,-1,84,184,-1,26,31,2,149,12,7,11,8,4,5,3,3,random,1,1,-,-,-,-,156
18,19,200,2023-05-24 16:18:21.428,b20f4e2a,0,0,0.0,0.0,184,39,127,184,36,20,6,91,3,14,11,8,4,5,3,3,random,1,1,-,-,-,-,216
19,20,200,2023-05-24 16:18:32.036,b20f4e2a,0,0,0.0,0.0,-1,147,147,-1,50,31,2,111,7,11,11,8,4,5,3,3,random,1,1,-,-,-,-,300
20,21,200,2023-05-24 16:18:42.765,b20f4e2a,0,0,0.0,0.0,-1,94,-1,-1,38,34,7,151,1,17,11,8,4,5,3,3,random,1,1,-,-,-,-,228
21,22,200,2023-05-24 16:18:53.688,b20f4e2a,0,0,0.0,0.0,-1,43,116,-1,45,35,13,103,2,15,11,8,4,5,3,3,random,1,1,-,-,-,-,270
22,23,200,2023-05-24 16:19:04.667,b20f4e2a,0,0,0.0,0.0,126,110,117,122,29,36,11,79,5,18,11,8,4,5,3,3,random,1,1,-,-,-,-,174
23,24,200,2023-05-24 16:19:14.869,b20f4e2a,0,0,0.0,0.0,100,41,62,62,51,29,7,202,15,17,11,8,4,5,3,3,random,1,1,-,-,-,-,306
24,25,200,2023-05-24 16:19:25.818,b20f4e2a,0,0,0.0,0.0,72,48,62,72,30,42,9,120,12,6,11,8,4,5,3,3,random,1,1,-,-,-,-,180
0,375,1049,2023-05-24 16:16:03.381,1b962bf2,0,0,0.0,0.0,146,26,27,146,38,48,13,106,9,26,8,4,1,3,4,2,random,2,1,-,-,-,-,228
1,376,200,2023-05-24 16:16:32.056,1b962bf2,0,0,0.0,0.0,80,80,80,80,36,21,1,73,6,5,8,4,1,3,4,2,random,2,1,-,-,-,-,216
2,377,200,2023-05-24 16:16:58.106,1b962bf2,0,0,0.0,0.0,-1,107,170,-1,41,34,11,124,2,18,8,4,1,3,4,2,random,2,1,-,-,-,-,246
3,378,200,2023-05-24 16:17:25.443,1b962bf2,0,0,0.0,0.0,71,64,68,68,55,39,10,96,8,7,8,4,1,3,4,2,random,2,1,-,-,-,-,330
4,379,200,2023-05-24 16:17:53.451,1b962bf2,0,0,0.0,0.0,-1,124,149,-1,45,30,3,125,2,5,8,4,1,3,4,2,random,2,1,-,-,-,-,270
5,380,200,2023-05-24 16:18:19.800,1b962bf2,0,0,0.0,0.0,122,117,117,122,27,36,8,134,7,23,8,4,1,3,4,2,random,2,1,-,-,-,-,162
6,381,200,2023-05-24 16:18:46.131,1b962bf2,0,0,0.0,0.0,101,28,31,58,43,43,9,132,10,15,8,4,1,3,4,2,random,2,1,-,-,-,-,258
7,382,200,2023-05-24 16:19:10.623,1b962bf2,0,0,0.0,0.0,51,48,48,50,56,34,8,167,22,11,8,4,1,3,4,2,random,2,1,-,-,-,-,336
0,1,200,2023-05-24 16:15:32.415,3f39c5ae,0,0,0.0,0.0,66,28,28,66,55,50,15,114,6,20,8,4,1,3,4,2,random,2,1,-,-,-,-,330
1,2,200,2023-05-24 16:15:40.610,3f39c5ae,0,0,0.0,0.0,76,34,34,65,37,28,11,105,15,4,8,4,1,3,4,2,random,2,1,-,-,-,-,222
2,3,200,2023-05-24 16:15:48.335,3f39c5ae,0,0,0.0,0.0,113,88,113,113,53,34,2,109,5,12,8,4,1,3,4,2,random,2,1,-,-,-,-,318
3,4,200,2023-05-24 16:15:56.552,3f39c5ae,0,0,0.0,0.0,132,6,132,132,47,30,7,115,10,16,8,4,1,3,4,2,random,2,1,-,-,-,-,282
4,5,200,2023-05-24 16:16:04.350,3f39c5ae,0,0,0.0,0.0,-1,199,199,199,46,42,8,103,3,9,8,4,1,3,4,2,random,2,1,-,-,-,-,276
5,6,200,2023-05-24 16:16:12.012,3f39c5ae,0,0,0.0,0.0,-1,93,157,157,51,30,10,94,3,21,8,4,1,3,4,2,random,2,1,-,-,-,-,306
6,7,200,2023-05-24 16:16:19.582,3f39c5ae,0,0,0.0,0.0,-1,165,165,-1,29,36,1,78,2,5,8,4,1,3,4,2,random,2,1,-,-,-,-,174
